ID,Count
18288,562.0
18289,439.0
18290,378.0
18291,308.0
18292,265.0
18293,242.0
18294,258.0
18295,312.0
18296,340.0
18297,438.0
18298,630.0
18299,670.0
18300,648.0
18301,563.0
18302,586.0
18303,588.0
18304,591.0
18305,604.0
18306,634.0
18307,696.0
18308,657.0
18309,620.0
18310,617.0
18311,622.0
18312,564.0
18313,441.0
18314,380.0
18315,310.0
18316,266.0
18317,243.0
18318,259.0
18319,313.0
18320,342.0
18321,440.0
18322,632.0
18323,673.0
18324,651.0
18325,566.0
18326,588.0
18327,591.0
18328,593.0
18329,607.0
18330,637.0
18331,699.0
18332,660.0
18333,623.0
18334,620.0
18335,625.0
18336,567.0
18337,443.0
18338,381.0
18339,311.0
18340,267.0
18341,245.0
18342,261.0
18343,314.0
18344,343.0
18345,442.0
18346,635.0
18347,676.0
18348,654.0
18349,568.0
18350,591.0
18351,594.0
18352,596.0
18353,609.0
18354,640.0
18355,702.0
18356,663.0
18357,625.0
18358,623.0
18359,628.0
18360,569.0
18361,445.0
18362,383.0
18363,312.0
18364,268.0
18365,246.0
18366,262.0
18367,316.0
18368,345.0
18369,444.0
18370,638.0
18371,679.0
18372,657.0
18373,571.0
18374,593.0
18375,596.0
18376,598.0
18377,612.0
18378,642.0
18379,705.0
18380,666.0
18381,628.0
18382,625.0
18383,630.0
18384,571.0
18385,447.0
18386,385.0
18387,314.0
18388,269.0
18389,247.0
18390,263.0
18391,317.0
18392,346.0
18393,445.0
18394,641.0
18395,682.0
18396,659.0
18397,573.0
18398,596.0
18399,599.0
18400,601.0
18401,615.0
18402,645.0
18403,708.0
18404,669.0
18405,631.0
18406,628.0
18407,633.0
18408,574.0
18409,449.0
18410,386.0
18411,315.0
18412,271.0
18413,248.0
18414,264.0
18415,319.0
18416,348.0
18417,447.0
18418,643.0
18419,685.0
18420,662.0
18421,575.0
18422,598.0
18423,601.0
18424,604.0
18425,617.0
18426,648.0
18427,711.0
18428,671.0
18429,633.0
18430,631.0
18431,636.0
18432,576.0
18433,451.0
18434,388.0
18435,316.0
18436,272.0
18437,249.0
18438,265.0
18439,320.0
18440,349.0
18441,449.0
18442,646.0
18443,687.0
18444,665.0
18445,578.0
18446,601.0
18447,604.0
18448,606.0
18449,620.0
18450,651.0
18451,714.0
18452,674.0
18453,636.0
18454,633.0
18455,638.0
18456,579.0
18457,453.0
18458,389.0
18459,318.0
18460,273.0
18461,250.0
18462,266.0
18463,321.0
18464,351.0
18465,451.0
18466,649.0
18467,690.0
18468,668.0
18469,580.0
18470,603.0
18471,606.0
18472,609.0
18473,623.0
18474,653.0
18475,717.0
18476,677.0
18477,639.0
18478,636.0
18479,641.0
18480,581.0
18481,455.0
18482,391.0
18483,319.0
18484,274.0
18485,251.0
18486,267.0
18487,323.0
18488,352.0
18489,453.0
18490,652.0
18491,693.0
18492,671.0
18493,583.0
18494,606.0
18495,609.0
18496,611.0
18497,625.0
18498,656.0
18499,720.0
18500,680.0
18501,641.0
18502,639.0
18503,644.0
18504,584.0
18505,456.0
18506,393.0
18507,320.0
18508,275.0
18509,252.0
18510,268.0
18511,324.0
18512,354.0
18513,455.0
18514,654.0
18515,696.0
18516,673.0
18517,585.0
18518,609.0
18519,611.0
18520,614.0
18521,628.0
18522,659.0
18523,723.0
18524,683.0
18525,644.0
18526,641.0
18527,646.0
18528,586.0
18529,458.0
18530,394.0
18531,322.0
18532,276.0
18533,253.0
18534,270.0
18535,325.0
18536,355.0
18537,457.0
18538,657.0
18539,699.0
18540,676.0
18541,588.0
18542,611.0
18543,614.0
18544,616.0
18545,630.0
18546,662.0
18547,726.0
18548,686.0
18549,647.0
18550,644.0
18551,649.0
18552,589.0
18553,460.0
18554,396.0
18555,323.0
18556,277.0
18557,254.0
18558,271.0
18559,327.0
18560,356.0
18561,459.0
18562,660.0
18563,702.0
18564,679.0
18565,590.0
18566,614.0
18567,616.0
18568,619.0
18569,633.0
18570,664.0
18571,729.0
18572,688.0
18573,649.0
18574,647.0
18575,652.0
18576,591.0
18577,462.0
18578,398.0
18579,324.0
18580,279.0
18581,255.0
18582,272.0
18583,328.0
18584,358.0
18585,461.0
18586,663.0
18587,705.0
18588,682.0
18589,593.0
18590,616.0
18591,619.0
18592,621.0
18593,636.0
18594,667.0
18595,732.0
18596,691.0
18597,652.0
18598,649.0
18599,654.0
18600,593.0
18601,464.0
18602,399.0
18603,326.0
18604,280.0
18605,256.0
18606,273.0
18607,329.0
18608,359.0
18609,463.0
18610,665.0
18611,708.0
18612,685.0
18613,595.0
18614,619.0
18615,622.0
18616,624.0
18617,638.0
18618,670.0
18619,735.0
18620,694.0
18621,655.0
18622,652.0
18623,657.0
18624,596.0
18625,466.0
18626,401.0
18627,327.0
18628,281.0
18629,257.0
18630,274.0
18631,331.0
18632,361.0
18633,464.0
18634,668.0
18635,711.0
18636,687.0
18637,597.0
18638,621.0
18639,624.0
18640,627.0
18641,641.0
18642,673.0
18643,738.0
18644,697.0
18645,657.0
18646,655.0
18647,660.0
18648,598.0
18649,468.0
18650,403.0
18651,328.0
18652,282.0
18653,258.0
18654,275.0
18655,332.0
18656,362.0
18657,466.0
18658,671.0
18659,714.0
18660,690.0
18661,600.0
18662,624.0
18663,627.0
18664,629.0
18665,643.0
18666,675.0
18667,741.0
18668,700.0
18669,660.0
18670,657.0
18671,663.0
18672,601.0
18673,470.0
18674,404.0
18675,330.0
18676,283.0
18677,259.0
18678,276.0
18679,333.0
18680,364.0
18681,468.0
18682,673.0
18683,716.0
18684,693.0
18685,602.0
18686,626.0
18687,629.0
18688,632.0
18689,646.0
18690,678.0
18691,744.0
18692,703.0
18693,663.0
18694,660.0
18695,665.0
18696,603.0
18697,472.0
18698,406.0
18699,331.0
18700,284.0
18701,260.0
18702,277.0
18703,335.0
18704,365.0
18705,470.0
18706,676.0
18707,719.0
18708,696.0
18709,605.0
18710,629.0
18711,632.0
18712,634.0
18713,649.0
18714,681.0
18715,747.0
18716,706.0
18717,666.0
18718,663.0
18719,668.0
18720,606.0
18721,474.0
18722,408.0
18723,332.0
18724,285.0
18725,261.0
18726,279.0
18727,336.0
18728,367.0
18729,472.0
18730,679.0
18731,722.0
18732,699.0
18733,607.0
18734,631.0
